id	sentence1	sentence2	is_duplicate
49400 b32fd134-fe26-4545-839c-a0f7b0a7e33f	What is the best programming language I should start learning?	What are the best programming languages for beginners and why?	1.0
137694 92b14ae5-1a87-4c24-9c90-28baffdecc3a	Who is going to win the 2016 presidential election?	Who do you think is going to win the 2016 presidential election?	1.0
98167 b4a45faa-54f5-4f62-917e-31ab45bad335	Who's your favourite anime character?	What is your favorite anime character? And why?	1.0
213808 71331750-30b7-4091-96ec-f562b229378d	What is the best way to write a respectful resignation letter?	What do you put in a resignation letter?	0.0
14711 f79631de-1799-4cec-b6fe-33bf93e1054d	What is good for bulking? Milk or cheese?	Which one profile is highest Salary? 1. Digital Marketing 2. Coding (Java/html.javascript/C++) or Designing?	0.0
28683 0e4c6f0d-f275-47d6-8188-8f5667625ba4	What is the package for freshers in Secureye?	What is the package offered by ABCO Advisary Services to a fresher?	0.0
97316 d39856f5-c9a5-4c44-a487-09c30ac8e088	What is your review of Public Administration?	What is your review of Public Administration UPSC?	0.0
36848 6918bea3-7b41-4410-a3ba-3f750a91e809	What is sixth sense technology?	Where is our sixth-sense technology?	1.0
16475 c1769438-b13a-400c-b990-f0a267e91717	How can anyone like Hillary Clinton?	What are Hillary Clinton's chances of winning in the 2016 US Presidential Election?	0.0
27660 4247cde8-1071-4c61-a3dd-96611d71f36e	Is it good that Britain left European Union?	The UK has officially left the European Union. What are the implications for the UK, europe, and the rest of the world?	0.0
202526 6beed5a4-c521-4e4b-a314-991f66536711	Is it possible to fall in love within 2 days?	Is it possible to fall in love in just 2 months?	0.0
96589 8946d6ef-d108-4f52-97b9-e973d2a55716	What is the strangest thing that happened to you as a foreigner in America?	What was the strangest thing that happened to you as a foreigner in Japan?	0.0
54744 6b5247d4-8d4c-4497-a303-8b743bc0e38b	I have a general PwD reservation for the JEE Main. What does this mean and what chance do I have of getting into a good NIT/IIT?	Can I get CSE in any good NIT with an AIR (general) of around 15k -18k in JEE Mains 2016?	0.0
344409 4b8c4965-abbc-4eb3-b1de-23264f718c2a	What causes thunder and lightning?	Why does thunder come out?	1.0
235940 4cfe8933-574d-4126-ae3d-abc9ea4435d4	I am a married man in love with a married woman . At first she seemed very interested in having an affair with me, but then things cooled down without any explanation. Should I press her?	A married man and married woman are in love with each other and they are having an affair (cheating on their respective partners) Should I go ahead and tell their spouses?	0.0
107751 84b4b6d8-eb76-47eb-a90a-558f3255d6f2	How hard is it for an undergraduate at Stanford to double major in EE and MS&E?	A double major in Engineering Physics and Philosophy? Would it be worth it? How hard?	0.0
379843 6cb665bd-f2c6-43b4-b8f7-10e47a98eb11	Does Donald Trump have a limited vocabulary?	Why does Donald J. Trump appear to have a limited vocabulary?	1.0
2802 6ab44c83-559e-4646-9939-f15727cfd3ad	Do you believe that people can change?	Do you/would you like to believe that people can change?	1.0
262012 ae88955c-75bb-4b17-acd5-8d334dfaeb34	Which college is better DAVIET JALANDHAR or UIET KURUKSHETRA?	What are the best YouTube videos to learn childeren Spanish phrases and words?	0.0
228587 377db554-0a0f-493e-9a30-9fd240b1237a	Can we actually be able to control gravity?	Will we ever be able to manipulate gravity?	1.0
399889 b0d79617-2a6f-46aa-b51a-ffe566ff82aa	What is the D class time table for DAC at Sunbeam Pune?	What is the better option for a C-DAC course, Sunbeam Pune or KP Bangalore?	0.0
156597 b453dd99-6dc9-4bc2-bb8e-be17ed60cf24	How can I see who views my Instagram video?	Can you see who views your videos in Instagram?	1.0
362114 cbf45b20-4c9e-4f4f-a5ce-94383c458bae	What is the typical beginner's salary in Germany for a mechanical engineer (Master) from one of the TU-9?	What is the typical beginner's salary in Germany for an electrical engineer (Master) from one of the TU-9?	1.0
36800 67e7eceb-862d-4b51-8e6c-5694ffdeb296	What negotiation tactics does Eric Schmidt use?	"What does Eric Schmidt mean by ""Adult Supervision""?"	0.0
403393 bd0c4152-29a1-48ce-b1ce-8bbda349a05d	What are the advantages of using military time?	Does the US military use any Russian equipment?	0.0
400243 83a6ec39-c8cb-4fb4-91f2-a9cd1bf39ede	Why does every women want a bigger penis to have sex?	Do women want bigger penis?	1.0
201906 cfe33a07-e8c3-4e4a-9c7a-b80c938ad9bd	How do the Jews perceive, feel, understand, view, believe, and/or opine, about other religions?	How do the Christianists perceive, feel, understand, view, believe, and/or opine, about other religions?	0.0
129568 86c3b469-8c06-4862-8b4a-e0e9b2962bbb	Which is the most attractive foreign race for Russian women?	What is the best way for a full-time employed foreigner in Asia (e.g. Singapore) to get an internationally recognised certification in Russian language? Which schools in Russia are recommended if the foreigner can get away from work for at most a month each time?	0.0
172880 6d917f31-d2b1-4017-a5fb-5ac851243946	How can I change the logo of a topics in Quora?	Why did Quora modify its logo?	0.0
329476 8a8e2789-c2f6-4964-9a0a-8cc8009fbfa4	What kind of economy does the United States have compared to the one in Spain?	What kind of economy does the United States have compared to the one in Canada?	0.0
137563 ce05a8cb-2e90-4f73-9676-d8214e1a084a	Is Orlando Bloom a good actor?	When discussing the next Bond, what about Orlando Bloom?	0.0
366091 6ef8b0fe-1ded-4e1b-a978-7070013002cc	Why can't I get my songs back off Apple Music? And if I can how?	How many songs can an Apple Music playlist hold?	0.0
113426 9c67e6c8-cadc-4d99-9fba-d8aaae30e93b	Is it safe to browse the dark web?	What is Deep Dark Web? Is it safe to surf it?	1.0
360103 9cad27a3-8737-4620-88b0-e5fea9059d6e	Which book among DC Pandey or BM Sharma is good for clearing concepts in physics and practice IIT level questions?	Which objective book of Physics is good GRB, DC Pandey or Pradeep’s for AIPMT?	0.0
213273 658f6d5d-c31b-4ab5-a772-a477f7173db3	What are the best alternative apps to McLaren P1?	Are there any alternatives to the App Store?	0.0
110645 b283d828-b886-45bc-8be1-1cd3f965ec0f	I'm new to Quora. What does it mean when someone says they are following me?	"What does ""following"" mean?"	0.0
342498 7e6b4ec9-87c7-45c8-aa0e-6bc7eb285fca	How long (per day) should a 13 year old spend looking at screens?	How many hours of electronics per day for children and teens is appropriate?	0.0
62356 0f340b8e-871a-4fe2-8851-f82f171e1223	What is the future aspect of an iOS developer?	What is the future for iOS Developers?	1.0
236170 80cb52f3-b0aa-4722-8b94-59a6c4130e42	How should we improve communication skills?	How do I develop my communicative skills?	1.0
52452 e1eb0d00-7d55-4e7e-b65b-578efe50945e	How do I build a home gym on a budget?	Home Gym: What should I buy first? A pull up bar or a squat rack? What is more essential?	0.0
111957 b39e0fb0-d7c2-4e41-a6c0-10ce083d8c2c	Do Muslim women shave?	Do Muslim women shave their legs?	0.0
278398 b769d1de-ed0b-48e7-9b70-d5837d439cdd	I don't feel emotionally attached to anyone. I try to or pretend to but deep down I know I don't feel for anyone. Does it mean that I'm selfish or emotionally detached? What is wrong and what should I do?	I don't feel any emotion anymore. Moreover, I don't want to be around anyone and be alone most of the time. I don't like people asking me questions about what I want in my life. Is it normal or am I broke?	0.0
18078 fee8b174-9954-47a2-9ffc-4524e47dc0f2	Who designed materialtree.com?	Who designed hookedonphonics.com?	0.0
198131 9fe071b1-975e-4ba9-ac3f-fde821ac7e7e	How many rows and columns in one excel sheet?	How many rows are there in excel sheet?	1.0
322044 3ff53f50-f741-465e-9faa-b84036e33319	HOh many people awarded by noble award?	What is the most effective essential oil blend (aromatherapy synergy) for use in massage oil to help loosen muscle knots (release trigger points)?	0.0
43427 39b34afa-d7b5-458e-abf9-076335322e30	What are the differences between tint and shade?	What is the best Xbox One game of 2016 and why?	0.0
65517 00ebb962-93e1-4646-82c8-6400623a4d1c	What is Donald Trump like in person?	Of those who know him personally, what kind of a guy is the real Donald Trump?	0.0
14591 f3fad7d1-fec6-4e42-b199-4c2ed2996f68	Can a high school dropout get a software engineering job if he has completed a PGD in IT?	Can a software engineer get job in PSUs?	0.0
101722 b832c175-5483-4e32-9811-751ce91fb209	Why did the US not see the attack on Pearl Harbor coming?	In what ways was the US unprepared for an attack on Pearl Harbor?	0.0
384940 a3de8904-bc78-4bcb-a7f9-67b844c7b87d	What is the salary of all the characters of Taarak Mehta Ka Ooaltah Chashmah?	"Why does Jethalal in ""Taarak Mehta ka Ooltah Chashmah"" wears Hitler moustache?"	0.0
373902 8f07d7db-5f9a-422e-b91b-7751d69b8259	How do you train a dog?	How do I train White Pitbulls?	1.0
249717 696eeb4c-b82c-48ef-bc2c-9514d887c2cf	How does Smaug survive for so long under the mountain? Does he eat, and if so, what?	How did Thorin and his men survive in Erebor after the death of Smaug?	0.0
299593 32164b17-5505-4425-8a7c-37dc5b28231d	Can I get ob with CA intermediate?	Odisha TET Answer Key are announced?	0.0
247743 49398356-5cf0-43ed-882c-6e2ef2840342	Who is TopCoder?	What is TopCoder?	0.0
114450 978d2fc0-fff3-4578-93ca-4df9f63b016d	"Why does the Chinese company ""Alibaba.com"" have a name from the Arabian Nights?"	Why did they name the company Alibaba?	1.0
179561 ed934c07-8eff-42f8-8f1a-924529f882c3	Which group meets more discrimination, gay men or lesbians?	Are there more gay men than lesbians?	0.0
206961 196478eb-8ec5-454d-84bd-bb770c6c73b1	How can I log into Facebook without putting in a password?	How can I get back in my Facebook without a vaild email or password?	1.0
202624 d9eaca16-c211-4c37-8885-1933b12aff84	What are some high paying jobs that involve a civil engineering degree?	What are some high paying jobs that involve a mechanical engineering degree?	0.0
224813 9aa85971-8d05-453d-85c0-efab6decdb2a	How do I book free Uber ride through paytm?	Has the value of the Iranian rial fallen 450% in ten years, as stated by The Associated Press today, or by 78%, as according to my calculation?	0.0
356466 0fc6663f-14e9-4e0c-862c-4a56370a6623	What will Google name the next Android version after Android Z?	What will Google do after the release of Android Z?	1.0
118903 cdde78ed-6b07-4927-b8a8-59e0bbb796e4	How Can I get more views for my videos?	How can I get more traffic to my YouTube videos?	0.0
288157 4269b2a6-2339-4ab2-ad9b-7d144e2db981	What is the total no of seats for gen category under neet?	Can someone tell how many seat in total for general category after NEET?	1.0
113316 be4ed2c7-1046-42f3-83a4-510b17fcb342	How do I get over my porn addiction?	What`s the best way to get rid of porn addiction?	1.0
112251 f541fe30-6519-4b26-a5e8-4f12603aa5be	What specific activity never fails to make you happy?	What never fails to make you happy?	1.0
358225 4b1c93bb-22ba-4aa1-a34f-86a9f32ba311	Niharika: How did u manage to score these marks? What all tips can you give me (a dropper) for NEET 2017?	What are some odd and unique Interest Groups?	0.0
136114 683df0c2-7d3c-4f85-81b3-4d6aa1af880e	Is it bad for health to eat eggs every day?	Are peanuts healthy, especially to eat every day?	1.0
223605 9cad88e3-4d7a-421c-afa3-28847361ad66	What are the most commonly asked interview questions and how do I answer them?	What are the basic questions asked in a job interview?	1.0
366935 d7ad0b18-8d37-4b95-b39c-1f454108a3ee	What is one thing you believe to be true that most do not?	What are some of the things you believe that most people don't?	1.0
206318 4671c4bf-0393-444e-8df5-22fde148c5b0	Has a holocaust denier ever faked an evidence?	Have holocaust deniers ever faked evidence?	1.0
262331 caefb856-acf2-425e-9f55-76f87d05fdb4	What is an oligarchy? What are some examples of oligarchy governments?	What is a Oligarchy? What are some examples?	1.0
53942 ae897379-2b4f-4b9c-b751-8feca1b1cfcd	What are useful books?	What is the single most useful book you have ever read?	0.0
228530 83d482e2-f3a5-4087-90db-503cc1828a68	The walking dead season 7?	Where can I download The walking dead season 5?	0.0
327931 c01d1721-4bd7-4815-a035-489faa70287a	How can I make a girl fall in love?	How can I make a girl fall in love with me?	1.0
58452 a142bcbd-71dc-4125-891d-b2ba94c37ea2	How do I know If I'm really in love?	How do I know that I am in love?	1.0
65164 31f954ee-2aaf-45d6-859d-7256267852db	How is a fraction simplified?	Why do we simplify fractions?	0.0
125150 680991f4-d692-4384-be63-48103a0ddbdc	How do you get out of a mid-life career crisis?	What is a mid-life crisis?	0.0
401652 ae4b9716-0507-4ca1-9af1-e6bb81a28f23	Is religion important?	Why is freedom of religion important?	0.0
403528 cc1c44b7-b933-4943-89e4-6cf3872398a1	Why do apps on iOS take up more space than their android counterparts?	Why do iOS apps consume more space than similar android apps?	1.0
200866 237e014d-669e-4aef-a811-b8c6fc124ca3	When will episode 278 of fairy tail come out?	What is your review of Fairy Tail (anime)?	0.0
185075 d27f7db7-974e-4ec4-bd8e-5be9afc4a3b2	Is it possible to make a cluster computer that runs windows 10? If so how? And how long will it?	Is it possible to make 32-bit Windows 7 run on a GPT disk?	0.0
153102 89159d05-b872-40cc-929a-89dad923aa9f	What are great movies to watch in 2016 and why?	What are the top 10 movies of 2016 (any genre)?	1.0
223828 949601ae-8723-4b9f-adf4-bbb9c1e4af86	What are the different ways in Which I can do my higher studies in abroad with minimum fees?	Is incest allowed in Christianity?	0.0
251730 b1b2f50e-90e9-4fc6-983f-c68154dcf6a0	How can I recover data from my broken iPhone?	Data Recovery: I've lost all my contacts on my iPhone, however they are all there in iCloud. How can I get them back onto my iPhone?	0.0
76836 c997bc33-70b6-4d1c-944a-679ea9ec4efb	What is 7Up?	Why is 7up called 7up?	0.0
98059 be3d3e7b-386f-4e85-9b09-4c97a688a6b8	What is your favorite thing to do on a vacation?	What are your favorite things?	0.0
209515 b85e8730-21ed-4e38-9469-c6e34968468d	IILM vs AMITY, which is a better college?	Which is better for a BBA, Amity University or any college of GGSIPU?	0.0
11157 9acae024-01b4-4ffe-8e00-a73d1151a9ac	What is a pantograph? What is it used for?	What is a pantograph used for?	1.0
326950 15d231e3-1880-49f5-a7f4-fe0d140bfca2	How do people earn money through YouTube in India?	How can I earn money using YouTube?	1.0
97129 9ee5e810-786b-40d6-bca0-c06a791b2568	Should I prepare for cat 2017?	How do I prepare for CAT 2017 from now?	1.0
4821 5aef772b-68cf-46fc-85e3-57fa2d02adf0	Does Instagram support GIFs?	How do I get more followers on Instagram?	0.0
393235 92e645bf-6ffb-46cc-a371-18dfa3ae5971	What is a pulmonary embolism?	How is pulmonary embolism diagnosed?	0.0
338282 65578f36-e24f-4727-9727-a3add5e4306a	Why should I tip my server?	Why do I have to tip the server?	1.0
165108 20765e63-044b-4a1a-8b9c-034c684a9ee5	What are ways to become an anime voice actor?	How do I become an anime voice actor?	1.0
292472 186e850a-515d-4f21-90a3-3d1c8e0db46b	What do the different cards mean in Cards Against Humanity?	What do I need to know to play Cards Against Humanity?	0.0
102253 0dda9c13-7bfc-4631-ac26-3ed517c01239	With Stripe in Singapore, can South East Asians use GoFundMe for campaigns?	What was South-East Asian Shophouse food culture?	0.0
131372 0fca0a71-bb10-4f1e-a237-675878d246ed	What is the scope of electrical engineering?	What is the scope of electrical engineering in Pakistan?	0.0
260189 a3453afb-cf13-47e0-95f9-f07143855628	How do you determine the formula for cobalt III phosphide?	How do you determine the formula for cobalt III phosphate?	0.0
132336 373f1884-09b6-4856-97db-fa08af9d6cbb	Which jobs in India could fetch you a beacon in your car?	Why is there no job site to directly fetch jobs from the career pages of all companies in India?	0.0
249152 952f378b-8dbb-449a-95d8-64da8dbb4da9	Is moving on after finding out your partner has been cheating, easy?	How people in Indian ordnance factory through ESE gets their posting? Is it through rank or just random distribution of location?	0.0
142110 9e1b8b5f-53f1-4d20-93fe-a0f916ade1f6	How do I start a childrens transportation business?	What are repossessions? Why are they expensive?	0.0
289992 855b87ca-ffc6-4844-88e5-d7f04972e1ab	What questions should never be asked by interviewers?	What questions should I ask my interviewer?	0.0
154134 aff08dad-755a-49bf-aab3-4b76c882ea9c	"How do you define ""define""?"	How do you define what?	0.0
351939 d5a27714-2a43-4c60-b0c2-a7fab278d3f1	What are good business ideas for 2015?	What are some good business ideas for 2016?	0.0
302797 cbbda547-659d-420f-8ee0-5cbefc1393be	What is the trick of playing hayday?	Why is rape allowed in prison?	0.0
390676 e357c7d0-04d1-460e-be87-fb50e32611ff	Was Ronald Reagan a good president?	Was Reagan a bad president? Why?	0.0
124563 7f04cb7e-7718-413d-b27b-4070c6a55fe1	Which are the best internet security apps?	What is the best internet security for PCs?	0.0
168815 95cec194-7e2c-443a-9196-85c0b67e5285	What should the Republican party look like?	How? Can I gate call details	0.0
245302 d3fc5c86-2345-4baf-9350-f285f916b613	How does the brain create consciousness?	What does the brain do after we die? How long does it stay conscious?	0.0
363648 2defa70e-e706-4e28-80af-121cc09fe4e0	Which is the best sitcom of all time?	What are the best sitcoms of all time?	1.0
128140 860ddda4-8e9e-4728-a3a9-e05fbd801dea	If there were a war between the Muggles and Wizards, what strategies can the Wizards use to win the war?	If there were a war between the Muggles and Wizards, what strategies can the Muggles use to win the war?	0.0
286497 92f2974a-d958-465e-9be4-ca7d4ebc9cd6	What is fansignal.com?	What is Parlend.com?	0.0
132263 cfd66a0b-e9e0-4fab-b30c-9a04a4f2f7fd	Why have you decided to not speak to your family anymore?	Why don't you speak to your family anymore?	1.0
273436 31094c19-f2ce-4b5b-99a8-457b7090def4	When women wear revealing attire or something that shows most of their legs, are they trying to be rebellious?	Why is it that when a president or prime minister comes to the end of their time in office, they have to make a ridiculous war deal so that they are remembered for something?	0.0
402979 ca05a4bc-4000-4d9c-8fa7-6c8588a8bc17	Is the story of BBC Sherlock similar to the works of Sir Arthur Conan Doyle?	Why do we say Sir Arthur Conan Doyle instead of Arthur Conan Doyle?	0.0
118715 ed278af0-e162-442e-8cad-f29ffa6e537e	Can long distance relationships work out?	Is there a single case of a successful long distance relationship?	1.0
20699 3df8900e-6e47-45fe-aaec-ac26d0cc33ac	Have Theological entities, places, and deities (such as Heaven and God) been scientifically tested?	Has Hell been scientifically tested?	1.0
77615 308d880f-4ab0-4fae-be43-5ea9e8351609	In terms of momentum and impulse, why are airbags in cars a good thing?	What do you do if the airbags deploy in a car?	0.0
111302 8a70afe9-66ab-4374-952f-61e9eeaca401	Who was the first Chartered Accounted in India?	Who is the first CA in India?	1.0
104377 80d9fe87-23c4-412b-ae35-b261b3623463	Can you see yourself during lucid dreaming?	Does lucid dreaming really work?	0.0
164352 66749688-f743-4d83-8330-2d0ec23fa94b	What is your advice for a 25 year old guy who is broken and see no hope in his future?	I am 18 years girl does need parents declaration in passport office?	0.0
266909 72f2aef6-9d11-4c57-9236-95e7d6abc643	Can Hulk destroy the universe?	Could a technologically advanced Borg gather all the water in the universe and destroy it and ensure that the universe can never make more?	0.0
70089 96b7713a-2154-4e27-a11c-5b671196b50c	How do you self publish a book?	What's the best way to self publish an e-book?	0.0
20348 8219f16c-297c-4bb3-8aae-cc6851e90bbb	What is the best embarrassing moment of your life?	What’s the most embarrassing moment of your life so far?	1.0
264758 71b956f0-d01e-4e9d-84a4-92c758ea15cb	Do presidents have to pay taxes on their salary?	SQL server developer becomes data scientist?	0.0
399979 4ff07146-b6bd-42ac-87a5-6de9eac4f632	What federal branch ruled that the states were unconstitutional?	"Were ""stop and frisk"" policies ruled unconstitutional?"	1.0
354312 cbcf39f1-fa53-4091-be28-abec2f0c13b3	Will companies like Google and Microsoft take masters from less developed countries or local universities in my country?	Will companies like Google and Microsoft take masters from less developed countries or local universities?	1.0
88963 fc2b0fa5-9b75-4fd7-b624-75f442de94be	Where can I get wonderful floor tiles company in Sydney?	Where can I found wide variety of ceramic tiles in Sydney?	1.0
255476 952cfc26-dedb-4d5b-92b3-62875dba4d8d	What does Balaji Vishwanathan think about the ban of ₹500 and ₹1000 currency notes in India?	What do you think about banning ₹500 and ₹1000 notes?	1.0
185248 9b504caa-d613-4dba-b488-4c0e61815189	Do some public schools teach creationism?	Is creationism taught in public schools in the US?	0.0
128581 51563660-8d55-46d5-a69e-0ea68407a7ab	How is the cost of living in Bangalore?	What is cost of living in Bangalore?	1.0
156259 6ac925c4-e53d-453c-966c-39022fff6780	Is the company iSoftStone trust worthy?	How do I convince my parents for gynecomastia?	0.0
355844 7c8f3924-d5c9-4985-b446-625cef3bc02d	What is the smallest amount of money ever won by a champion on Jeopardy?	How do you get on Jeopardy?	0.0
242445 92362da4-1ae3-4405-9b7d-b797c9539678	Which are the Best architecture colleges in India?	Which is the best architecture college in India for doing B.Arch?	0.0
60109 49ec4ad0-9d63-4c16-affd-57fad3411305	What do you do in skydiving?	How do skydivers think?	0.0
63149 cad7ed5e-b641-4dca-b03a-738e9a744c4b	What is the best programming language for a beginner?	What is the best programming language to learn(in your opinion)?	1.0
280866 c55df386-31c0-41ab-ba10-dbd72fdb0e86	Ergonomics: Where can I buy a standing desk in Singapore?	What companies make four legged sit/stand desks?	0.0
395282 20b7992f-7e95-4213-a5fd-80c051f37b92	Since the original meaning/purpose for the United States Senate no longer applies, why do we still have it?	How did you learn to go on with your life after breaking up with your partner?	0.0
155627 10a4b7b2-00f0-408e-8aa6-a8170a3b16f7	How do I need to improve my oral English?	How can I improve my oral English for TOEFL?	0.0
310734 a4418542-adfb-4ea2-b1d2-c7ba6dc97062	What are some fun things to do at a sleepover with just one friend?	What are some fun things to do at a sleepover?	0.0
275270 41121741-7b74-4318-a41f-782105abf9f6	Why can't India stop printing more currency?	Why can't India print more currency notes as USA prints as per their need?	1.0
377813 c0d1a71b-6e9e-41fd-b89b-1887855225ec	What is the present best branch of engineering in India?	Which is the best engineering branch in India?	1.0
369955 fe35a4c3-c42a-4ed7-9a09-588f1ebadeb2	What I can do to last longer during sex?	How do I last longer with sex?	1.0
341438 c3514456-8ad9-4022-ba39-1e62ff28480f	What are some good recommendations for a new laptop?	What are some good suggestions for a new laptop?	1.0
62722 23b556fa-6834-4b2f-a737-55641088b70a	Why is Facebook so common and Quora not, among the teenagers?	Why Indian teenagers are interested in Facebook, Whatsapp and Insta instead of Quora?	0.0
57527 0ba26f8d-c554-4c71-9fab-d873a2f1dd60	What is the religion of an atheist?	What is an atheist?	0.0
44072 1fcc99b7-3858-44c5-8f45-1b3f5c1a28ba	Who invented the word 'fuck'?	Who invented the word fuck?	1.0
371993 b3f14423-9d62-4f3a-b3c2-2a29d3fd56d0	Where can I download comics?	Where can I download comics.?	1.0
88045 9fd72ff5-85ed-43bd-a8a2-a80c9917e511	How can I recover my hacked Instagram account?	How can I recover my hacked Instagram account having 6k+ followers?	1.0
360029 1dae8111-4eb0-42f5-af99-d3c059157106	What is occupational insurance?	What is occupation?	0.0
8850 337c225b-5777-4d60-9394-559bd6b1bb35	Forgot my Facebook password and email password. How can I log into Facebook?	I forgot my Facebook password and email password. How can I log into Facebook?	1.0
393034 11ef595f-d2b3-4733-9051-8d498e9a4418	What does Bootstrap do?	"What is a ""Bootstrap"" in Javascript?"	0.0
4318 a9e9659c-c84f-490b-8a40-03140a353538	What is Quora's policy on expressing opinions and proselytizing to answer questions?	What is the molecular orbital configuration of the first excited state of hydrogen molecule?	0.0
328541 62ceffc1-6685-464f-932e-7f890fc36a49	Is it possible to stop masturbating?	How do I stop masturbation permanently?	1.0
77553 732843b1-1abb-4c47-9d4d-d9a1e3cd7c85	How do I understand random variables?	How can I understand the definition of a random variable?	1.0
102465 1180c5f0-9b69-4749-a8aa-9aa9c785e1da	How can I improve my speaking?	What are some ways to improve English?	1.0
273809 de2193f8-dd0a-49e2-94c6-da429c5f4a05	"What is an appropriate response to being accused of ""mansplaining?"""	If I get an A2A that I can't answer, what would be an appropriate response?	0.0
107579 d513a4fb-96e3-484d-b273-4d443a0d314f	What universities does ANI Pharmaceuticals recruit new grads from? What majors are they looking for?	What universities does Concert Pharmaceuticals recruit new grads from? What majors are they looking for?	0.0
